"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","WAGEGAP","EMPLOYEE","PC","A","2005",32.825438887,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2006",32.980832783,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2007",31.742323097,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2008",30.694397853,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2009",28.284923928,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2010",28.684300928,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2011",27.395364926,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2012",26.523545706,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2013",26.587578507,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2014",25.870989997,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2015",25.731790334,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2016",24.601289447,
"JPN","WAGEGAP","EMPLOYEE","PC","A","2017",24.518092661,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2005",39.616632359,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2006",39.774144311,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2007",38.162064282,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2008",39.037441734,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2009",38.614682704,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2010",39.605857342,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2011",36.5642295,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2012",36.298529966,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2013",36.599634369,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2014",36.653176139,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2015",37.176281754,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2016",36.666666667,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2017",34.617382557,
"KOR","WAGEGAP","EMPLOYEE","PC","A","2018",34.107310951,
"LUX","WAGEGAP","EMPLOYEE","PC","A","2006",7.6680672269,
"LUX","WAGEGAP","EMPLOYEE","PC","A","2010",4.5921644188,
"LUX","WAGEGAP","EMPLOYEE","PC","A","2014",3.4029167858,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2005",16.666666667,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2006",18.604651163,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2007",12.5,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2008",22.222222222,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2009",16.666666667,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2010",11.627906977,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2011",10,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2012",13.555555556,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2013",15.433403805,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2014",18.3,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2015",16.666666667,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2016",16.492248062,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2017",11.111111111,
"MEX","WAGEGAP","EMPLOYEE","PC","A","2018",14,
"NLD","WAGEGAP","EMPLOYEE","PC","A","2006",16.008064516,
"NLD","WAGEGAP","EMPLOYEE","PC","A","2010",17.88914703,
"NLD","WAGEGAP","EMPLOYEE","PC","A","2014",14.11468179,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2005",9.6111111111,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2006",9.3333333333,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2007",7.1428571429,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2008",8.0536912752,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2009",8.7591240876,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2010",7.0112359551,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2011",4.5333333333,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2012",5.9079061685,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2013",6.5943238731,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2014",6.0833333333,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2015",7.92,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2016",7.7692307692,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2017",7.1508379888,
"NZL","WAGEGAP","EMPLOYEE","PC","A","2018",7.8696925329,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2005",9.3885160328,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2006",9.1624347329,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2007",9.8311482592,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2008",9.2356687898,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2009",8.6687306502,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2010",8.0597014925,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2011",7.7809798271,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2012",6.4066852368,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2013",7.0080862534,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2014",6.2827225131,
"NOR","WAGEGAP","EMPLOYEE","PC","A","2015",7.1246819338,
"POL","WAGEGAP","EMPLOYEE","PC","A","2006",11.440420483,
"POL","WAGEGAP","EMPLOYEE","PC","A","2008",12.993822243,
"POL","WAGEGAP","EMPLOYEE","PC","A","2010",7.1902070437,
"POL","WAGEGAP","EMPLOYEE","PC","A","2012",10.620155274,
"POL","WAGEGAP","EMPLOYEE","PC","A","2014",11.07286288,
"POL","WAGEGAP","EMPLOYEE","PC","A","2016",9.4178809362,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2005",15.966388101,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2006",14.354839495,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2007",15.277779722,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2008",15.63548277,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2009",13.792500584,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2010",13.450867734,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2011",15.248122552,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2012",16.315464897,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2013",16.666666667,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2014",18.879690138,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2015",18.917016404,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2016",14.313146076,
"PRT","WAGEGAP","EMPLOYEE","PC","A","2017",14.773510708,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2005",20.099255583,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2006",17.802768166,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2007",17.521704815,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2008",16.444769568,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2009",16.432721259,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2010",14.851117649,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2011",15.449856429,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2012",15.965269161,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2013",14.109329757,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2014",14.350047529,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2015",13.376624885,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2016",13.899182143,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2017",15.040042332,
"SVK","WAGEGAP","EMPLOYEE","PC","A","2018",15.662080133,
"ESP","WAGEGAP","EMPLOYEE","PC","A","2006",13.533333333,
"ESP","WAGEGAP","EMPLOYEE","PC","A","2010",13.504464286,
"ESP","WAGEGAP","EMPLOYEE","PC","A","2014",11.540497618,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2005",11.304347826,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2006",11.016949153,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2007",11.836734694,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2008",10.588235294,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2009",9.5419847328,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2010",9.3632958801,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2011",9.1575091575,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2012",9.2857142857,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2013",9.375,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2014",9.1525423729,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2015",8.3333333333,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2016",8.1699346405,
"SWE","WAGEGAP","EMPLOYEE","PC","A","2017",7.3482428115,
"CHE","WAGEGAP","EMPLOYEE","PC","A","2006",21.318132126,
"CHE","WAGEGAP","EMPLOYEE","PC","A","2008",21.307506053,
"CHE","WAGEGAP","EMPLOYEE","PC","A","2010",20.053595355,
"CHE","WAGEGAP","EMPLOYEE","PC","A","2012",19.343526441,
"CHE","WAGEGAP","EMPLOYEE","PC","A","2014",16.940742841,
"CHE","WAGEGAP","EMPLOYEE","PC","A","2016",14.762372073,
"TUR","WAGEGAP","EMPLOYEE","PC","A","2006",3.2069970845,
"TUR","WAGEGAP","EMPLOYEE","PC","A","2010",3.1042128603,
"TUR","WAGEGAP","EMPLOYEE","PC","A","2014",6.8825910931,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2005",22.0639582,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2006",21.718084024,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2007",21.634780707,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2008",21.857869108,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2009",20.686295954,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2010",19.231436918,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2011",18.246005203,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2012",17.783882784,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2013",17.482014388,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2014",17.382742571,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2015",17.101551481,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2016",16.796536797,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2017",16.534100525,
"GBR","WAGEGAP","EMPLOYEE","PC","A","2018",16.403940887,
"USA","WAGEGAP","EMPLOYEE","PC","A","2005",18.975069252,
"USA","WAGEGAP","EMPLOYEE","PC","A","2006",19.246298789,
"USA","WAGEGAP","EMPLOYEE","PC","A","2007",19.843342037,
"USA","WAGEGAP","EMPLOYEE","PC","A","2008",20.050125313,
"USA","WAGEGAP","EMPLOYEE","PC","A","2009",19.78021978,
"USA","WAGEGAP","EMPLOYEE","PC","A","2010",18.810679612,
"USA","WAGEGAP","EMPLOYEE","PC","A","2011",17.788461538,
"USA","WAGEGAP","EMPLOYEE","PC","A","2012",19.086651054,
"USA","WAGEGAP","EMPLOYEE","PC","A","2013",17.906976744,
"USA","WAGEGAP","EMPLOYEE","PC","A","2014",17.451205511,
"USA","WAGEGAP","EMPLOYEE","PC","A","2015",18.882681564,
"USA","WAGEGAP","EMPLOYEE","PC","A","2016",18.142076503,
"USA","WAGEGAP","EMPLOYEE","PC","A","2017",18.172157279,
"USA","WAGEGAP","EMPLOYEE","PC","A","2018",18.910585817,
"CHL","WAGEGAP","EMPLOYEE","PC","A","2006",5.5555555556,
"CHL","WAGEGAP","EMPLOYEE","PC","A","2009",9.0909090909,
"CHL","WAGEGAP","EMPLOYEE","PC","A","2011",16,
"CHL","WAGEGAP","EMPLOYEE","PC","A","2013",10.666666667,
"CHL","WAGEGAP","EMPLOYEE","PC","A","2015",14.285714286,
"CHL","WAGEGAP","EMPLOYEE","PC","A","2017",12.5,
"EST","WAGEGAP","EMPLOYEE","PC","A","2006",29.6875,
"EST","WAGEGAP","EMPLOYEE","PC","A","2010",27.797833935,
"EST","WAGEGAP","EMPLOYEE","PC","A","2014",28.339350181,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2005",21.924398625,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2006",21.955215729,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2007",20.40924794,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2008",22.058823529,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2009",21.13599802,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2010",20.391577392,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2011",19.659666908,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2012",20,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2013",20.345901815,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2014",20.108141196,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2015",20.439189189,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2016",21.593332041,
"ISR","WAGEGAP","EMPLOYEE","PC","A","2017",21.791789941,
"LVA","WAGEGAP","EMPLOYEE","PC","A","2006",10.991957105,
"LVA","WAGEGAP","EMPLOYEE","PC","A","2010",19.055649241,
"LVA","WAGEGAP","EMPLOYEE","PC","A","2014",21.122994652,
"LTU","WAGEGAP","EMPLOYEE","PC","A","2006",15.952380952,
"LTU","WAGEGAP","EMPLOYEE","PC","A","2010",10.642570281,
"LTU","WAGEGAP","EMPLOYEE","PC","A","2014",12.479740681,
"SVN","WAGEGAP","EMPLOYEE","PC","A","2006",7.2205736894,
"SVN","WAGEGAP","EMPLOYEE","PC","A","2010",0.9917355372,
"SVN","WAGEGAP","EMPLOYEE","PC","A","2014",4.9962714392,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2005",15.8369842001463,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2006",15.1566974111944,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2007",15.666345944428,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2008",15.7051335286282,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2009",15.1346069044055,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2010",14.3242601598918,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2011",14.3437888790016,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2012",14.2345364258437,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2013",14.5212054600433,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2014",14.0477162282884,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2015",13.9752869846882,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2016",13.2515570896778,
"OECD","WAGEGAP","EMPLOYEE","PC","A","2017",13.4377519183437,
