,time,location,prct_f_employed_ICT
791,2014,European Union - 15 countries (1995-2004),"16,1"
795,2014,Euro area - 19 countries  (from 2015),"15,8"
799,2014,Belgium,"15,2"
803,2014,Bulgaria,"32,2"
807,2014,Czechia,"10,3"
811,2014,Denmark,"16,5"
815,2014,Germany (until 1990 former territory of the FRG),"16,5"
819,2014,Estonia,"19,1"
823,2014,Ireland,"20,7"
827,2014,Greece,"17,1"
831,2014,Spain,"18,0"
835,2014,France,"15,6"
839,2014,Croatia,"14,2"
843,2014,Italy,"13,7"
847,2014,Cyprus,"11,9"
851,2014,Latvia,"23,4"
855,2014,Lithuania,"16,6"
859,2014,Luxembourg,"10,8"
863,2014,Hungary,"11,7"
867,2014,Malta,"15,1"
871,2014,Netherlands,"12,2"
875,2014,Austria,"13,3"
879,2014,Poland,"13,9"
883,2014,Portugal,"13,7"
887,2014,Romania,"21,5"
891,2014,Slovenia,"13,3"
895,2014,Slovakia,"12,0"
899,2014,Finland,"21,6"
903,2014,Sweden,"19,1"
907,2014,United Kingdom,"16,5"
911,2014,Iceland,"21,2"
915,2014,Norway,"16,1"
919,2014,Switzerland,"13,5"
923,2014,Montenegro,:
927,2014,North Macedonia,"24,9"
931,2014,Serbia,"14,2"
935,2014,Turkey,"13,1"
939,2015,European Union - 28 countries (2013-2020),"16,2"
943,2015,European Union - 27 countries (from 2020),"16,1"
947,2015,European Union - 15 countries (1995-2004),"16,2"
951,2015,Euro area - 19 countries  (from 2015),"16,0"
955,2015,Belgium,"15,1"
959,2015,Bulgaria,"27,7"
963,2015,Czechia,"9,9"
967,2015,Denmark,"18,4"
971,2015,Germany (until 1990 former territory of the FRG),"16,3"
975,2015,Estonia,"20,3"
979,2015,Ireland,"19,7"
983,2015,Greece,"13,2"
987,2015,Spain,"17,4"
991,2015,France,"16,6"
995,2015,Croatia,"16,6"
999,2015,Italy,"13,8"
1003,2015,Cyprus,"19,7"
1007,2015,Latvia,"24,7"
1011,2015,Lithuania,"20,1"
1015,2015,Luxembourg,"12,6"
1019,2015,Hungary,"11,9"
1023,2015,Malta,"17,0"
1027,2015,Netherlands,"13,0"
1031,2015,Austria,"14,2"
1035,2015,Poland,"13,5"
1039,2015,Portugal,"15,3"
1043,2015,Romania,"27,2"
1047,2015,Slovenia,"16,0"
1051,2015,Slovakia,"11,4"
1055,2015,Finland,"22,4"
1059,2015,Sweden,"18,9"
1063,2015,United Kingdom,"16,2"
1067,2015,Iceland,"22,6"
1071,2015,Norway,"17,0"
1075,2015,Switzerland,"14,6"
1079,2015,Montenegro,:
1083,2015,North Macedonia,"20,5"
1087,2015,Serbia,"16,7"
1091,2015,Turkey,"11,6"
1095,2016,European Union - 28 countries (2013-2020),"16,7"
1099,2016,European Union - 27 countries (from 2020),"16,8"
1103,2016,European Union - 15 countries (1995-2004),"16,7"
1107,2016,Euro area - 19 countries  (from 2015),"16,5"
1111,2016,Belgium,"14,1"
1115,2016,Bulgaria,"30,2"
1119,2016,Czechia,"11,2"
1123,2016,Denmark,"19,6"
1127,2016,Germany (until 1990 former territory of the FRG),"16,6"
1131,2016,Estonia,"18,7"
1135,2016,Ireland,"21,1"
1139,2016,Greece,"12,7"
1143,2016,Spain,"15,4"
1147,2016,France,"18,1"
1151,2016,Croatia,"13,3"
1155,2016,Italy,"14,2"
1159,2016,Cyprus,"23,0"
1163,2016,Latvia,"24,8"
1167,2016,Lithuania,"24,8"
1171,2016,Luxembourg,"13,7"
1175,2016,Hungary,"13,1"
1179,2016,Malta,"12,1"
1183,2016,Netherlands,"15,6"
1187,2016,Austria,"17,2"
1191,2016,Poland,"14,5"
1195,2016,Portugal,"16,1"
1199,2016,Romania,"26,3"
1203,2016,Slovenia,"17,3"
1207,2016,Slovakia,"9,2"
1211,2016,Finland,"21,9"
1215,2016,Sweden,"20,8"
1219,2016,United Kingdom,"16,2"
1223,2016,Iceland,"21,9"
1227,2016,Norway,"19,4"
1231,2016,Switzerland,"14,9"
1235,2016,Montenegro,:
1239,2016,North Macedonia,"25,6"
1243,2016,Serbia,"20,5"
1247,2016,Turkey,"9,9"
1251,2017,European Union - 28 countries (2013-2020),"17,2"
1255,2017,European Union - 27 countries (from 2020),"17,1"
1259,2017,European Union - 15 countries (1995-2004),"17,5"
1263,2017,Euro area - 19 countries  (from 2015),"17,2"
1267,2017,Belgium,"18,2"
1271,2017,Bulgaria,"26,5"
1275,2017,Czechia,"9,3"
1279,2017,Denmark,"19,1"
1283,2017,Germany (until 1990 former territory of the FRG),"16,6"
1287,2017,Estonia,"19,4"
1291,2017,Ireland,"20,9"
1295,2017,Greece,"10,9"
1299,2017,Spain,"16,1"
1303,2017,France,"19,6"
1307,2017,Croatia,"13,0"
1311,2017,Italy,"16,0"
1315,2017,Cyprus,"17,4"
1319,2017,Latvia,"21,3"
1323,2017,Lithuania,"25,7"
1327,2017,Luxembourg,"12,5"
1331,2017,Hungary,"8,9"
1335,2017,Malta,"10,2"
1339,2017,Netherlands,"16,6"
1343,2017,Austria,"15,6"
1347,2017,Poland,"14,8"
1351,2017,Portugal,"14,4"
1355,2017,Romania,"25,7"
1359,2017,Slovenia,"16,1"
1363,2017,Slovakia,"13,7"
1367,2017,Finland,"21,8"
1371,2017,Sweden,"20,9"
1375,2017,United Kingdom,"17,6"
1379,2017,Iceland,"16,3"
1383,2017,Norway,"19,5"
1387,2017,Switzerland,"14,9"
1391,2017,Montenegro,"29,7"
1395,2017,North Macedonia,"25,9"
1399,2017,Serbia,"22,0"
1403,2017,Turkey,"10,0"
1407,2018,European Union - 28 countries (2013-2020),"16,5"
1411,2018,European Union - 27 countries (from 2020),"16,5"
1415,2018,European Union - 15 countries (1995-2004),"16,7"
1419,2018,Euro area - 19 countries  (from 2015),"16,5"
1423,2018,Belgium,"15,5"
1427,2018,Bulgaria,"28,3"
1431,2018,Czechia,"9,9"
1435,2018,Denmark,"19,3"
1439,2018,Germany (until 1990 former territory of the FRG),"16,8"
1443,2018,Estonia,"21,8"
1447,2018,Ireland,"18,3"
1451,2018,Greece,"11,3"
1455,2018,Spain,"16,2"
1459,2018,France,"17,0"
1463,2018,Croatia,"14,3"
1467,2018,Italy,"14,9"
1471,2018,Cyprus,"18,2"
1475,2018,Latvia,"14,4"
1479,2018,Lithuania,"25,4"
1483,2018,Luxembourg,"12,1"
1487,2018,Hungary,"8,5"
1491,2018,Malta,"17,4"
1495,2018,Netherlands,"16,6"
1499,2018,Austria,"18,4"
1503,2018,Poland,"14,0"
1507,2018,Portugal,"14,7"
1511,2018,Romania,"23,5"
1515,2018,Slovenia,"16,3"
1519,2018,Slovakia,"12,3"
1523,2018,Finland,"20,3"
1527,2018,Sweden,"20,9"
1531,2018,United Kingdom,"16,3"
1535,2018,Iceland,"15,5"
1539,2018,Norway,"20,3"
1543,2018,Switzerland,"14,5"
1547,2018,Montenegro,:
1551,2018,North Macedonia,"20,7"
1555,2018,Serbia,"19,1"
1559,2018,Turkey,"10,4"
