"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHE","INCOMEINEQ","GINI","INEQ","A","2015",0.296,
"TUR","INCOMEINEQ","GINI","INEQ","A","2011",0.403,
"TUR","INCOMEINEQ","GINI","INEQ","A","2012",0.399,
"TUR","INCOMEINEQ","GINI","INEQ","A","2013",0.39,
"TUR","INCOMEINEQ","GINI","INEQ","A","2014",0.398,
"TUR","INCOMEINEQ","GINI","INEQ","A","2015",0.404,
"GBR","INCOMEINEQ","GINI","INEQ","A","2005",0.359,
"GBR","INCOMEINEQ","GINI","INEQ","A","2006",0.364,
"GBR","INCOMEINEQ","GINI","INEQ","A","2007",0.373,
"GBR","INCOMEINEQ","GINI","INEQ","A","2008",0.369,
"GBR","INCOMEINEQ","GINI","INEQ","A","2009",0.374,
"GBR","INCOMEINEQ","GINI","INEQ","A","2010",0.351,
"GBR","INCOMEINEQ","GINI","INEQ","A","2011",0.354,
"GBR","INCOMEINEQ","GINI","INEQ","A","2012",0.351,
"GBR","INCOMEINEQ","GINI","INEQ","A","2013",0.358,
"GBR","INCOMEINEQ","GINI","INEQ","A","2014",0.356,
"GBR","INCOMEINEQ","GINI","INEQ","A","2015",0.36,
"GBR","INCOMEINEQ","GINI","INEQ","A","2016",0.351,
"GBR","INCOMEINEQ","GINI","INEQ","A","2017",0.357,
"USA","INCOMEINEQ","GINI","INEQ","A","2013",0.396,
"USA","INCOMEINEQ","GINI","INEQ","A","2014",0.394,
"USA","INCOMEINEQ","GINI","INEQ","A","2015",0.39,
"USA","INCOMEINEQ","GINI","INEQ","A","2016",0.391,
"USA","INCOMEINEQ","GINI","INEQ","A","2017",0.39,
"CHL","INCOMEINEQ","GINI","INEQ","A","2009",0.48,
"CHL","INCOMEINEQ","GINI","INEQ","A","2011",0.471,
"CHL","INCOMEINEQ","GINI","INEQ","A","2013",0.465,
"CHL","INCOMEINEQ","GINI","INEQ","A","2015",0.454,
"CHL","INCOMEINEQ","GINI","INEQ","A","2017",0.46,
"EST","INCOMEINEQ","GINI","INEQ","A","2013",0.357,
"EST","INCOMEINEQ","GINI","INEQ","A","2014",0.346,
"EST","INCOMEINEQ","GINI","INEQ","A","2015",0.33,
"EST","INCOMEINEQ","GINI","INEQ","A","2016",0.314,
"ISR","INCOMEINEQ","GINI","INEQ","A","2011",0.371,
"ISR","INCOMEINEQ","GINI","INEQ","A","2012",0.371,
"ISR","INCOMEINEQ","GINI","INEQ","A","2013",0.36,
"ISR","INCOMEINEQ","GINI","INEQ","A","2014",0.365,
"ISR","INCOMEINEQ","GINI","INEQ","A","2015",0.36,
"ISR","INCOMEINEQ","GINI","INEQ","A","2016",0.346,
"ISR","INCOMEINEQ","GINI","INEQ","A","2017",0.344,
"SVN","INCOMEINEQ","GINI","INEQ","A","2005",0.24,
"SVN","INCOMEINEQ","GINI","INEQ","A","2006",0.237,
"SVN","INCOMEINEQ","GINI","INEQ","A","2007",0.239,
"SVN","INCOMEINEQ","GINI","INEQ","A","2008",0.234,
"SVN","INCOMEINEQ","GINI","INEQ","A","2009",0.245,
"SVN","INCOMEINEQ","GINI","INEQ","A","2010",0.244,
"SVN","INCOMEINEQ","GINI","INEQ","A","2011",0.244,
"SVN","INCOMEINEQ","GINI","INEQ","A","2012",0.249,
"SVN","INCOMEINEQ","GINI","INEQ","A","2013",0.254,
"SVN","INCOMEINEQ","GINI","INEQ","A","2014",0.251,
"SVN","INCOMEINEQ","GINI","INEQ","A","2015",0.25,
"SVN","INCOMEINEQ","GINI","INEQ","A","2016",0.244,
"LVA","INCOMEINEQ","GINI","INEQ","A","2005",0.392,
"LVA","INCOMEINEQ","GINI","INEQ","A","2006",0.351,
"LVA","INCOMEINEQ","GINI","INEQ","A","2007",0.374,
"LVA","INCOMEINEQ","GINI","INEQ","A","2008",0.373,
"LVA","INCOMEINEQ","GINI","INEQ","A","2009",0.354,
"LVA","INCOMEINEQ","GINI","INEQ","A","2010",0.347,
"LVA","INCOMEINEQ","GINI","INEQ","A","2011",0.352,
"LVA","INCOMEINEQ","GINI","INEQ","A","2012",0.347,
"LVA","INCOMEINEQ","GINI","INEQ","A","2013",0.351,
"LVA","INCOMEINEQ","GINI","INEQ","A","2014",0.35,
"LVA","INCOMEINEQ","GINI","INEQ","A","2015",0.346,
"LVA","INCOMEINEQ","GINI","INEQ","A","2016",0.346,
"LTU","INCOMEINEQ","GINI","INEQ","A","2005",0.352,
"LTU","INCOMEINEQ","GINI","INEQ","A","2006",0.329,
"LTU","INCOMEINEQ","GINI","INEQ","A","2007",0.338,
"LTU","INCOMEINEQ","GINI","INEQ","A","2008",0.358,
"LTU","INCOMEINEQ","GINI","INEQ","A","2009",0.366,
"LTU","INCOMEINEQ","GINI","INEQ","A","2010",0.329,
"LTU","INCOMEINEQ","GINI","INEQ","A","2011",0.322,
"LTU","INCOMEINEQ","GINI","INEQ","A","2012",0.35,
"LTU","INCOMEINEQ","GINI","INEQ","A","2013",0.352,
"LTU","INCOMEINEQ","GINI","INEQ","A","2014",0.381,
"LTU","INCOMEINEQ","GINI","INEQ","A","2015",0.372,
"LTU","INCOMEINEQ","GINI","INEQ","A","2016",0.378,
